Song,Duration (s),BPM,Intensity (0-10),Cumulative Song Times (added later),,,,,,
Miss Americana & the Heartbreak Prince,173,150,2.281609673,2.22E+02,,,,,,
Cruel Summer,222,170,4.410062236,4.30E+02,,,,,,
The Man,208,110,4.638116377,5.25E+02,,,,,,
You Need to Calm Down,95,85,4.638116377,7.32E+02,,,,,,
Lover,207,69,1.078628035,9.52E+02,,,,,,
The Archer,220,124,1.62447032,1.11E+03,,,,,,
Fearless,155,100,9.918732962,1.33E+03,,,,,,
You Belong With Me,222,130,8.414778415,1.57E+03,,,,,,
Love Story,237,119,7.897581376,1.80E+03,,,,,,
willow,237,81,2.082556865,1.99E+03,,,,,,
marjorie,189,96,1.209035122,2.22E+03,,,,,,
champagne problems,232,171,0.850336503,2.39E+03,,,,,,
tolerate it,164,75,0.680166332,2.61E+03,,,,,,
…Ready For It?,217,160,4.670085105,2.83E+03,,,,,,
Delicate,226,85,4.348142609,3.02E+03,,,,,,
Don't Blame Me,190,136,5.134304265,3.25E+03,,,,,,
Look What You Made Me Do,224,128,5.32995446,3.49E+03,,,,,,
Enchanted,246,82,1.808607026,3.81E+03,,,,,,
Long Live,314,102,3.819867298,4.03E+03,,,,,,
22,227,104,4.882115317,4.23E+03,,,,,,
We Are Never Ever Getting Back Together,196,172,4.641795946,4.37E+03,,,,,,
I Knew You Were Trouble,145,154,3.532504837,4.95E+03,,,,,,
All Too Well (10 mins),579,93,1.866293171,5.15E+03,,,,,,
the 1,201,140,0.633677155,5.43E+03,,,,,,
betty,279,96,1.732879124,5.66E+03,,,,,,
the last great american dynasty,225,148,0.621609752,5.86E+03,,,,,,
august,205,90,1.206582076,5.97E+03,,,,,,
illicit affairs,108,120,2.159353029,6.21E+03,,,,,,
my tears ricochet,241,130,0.491360926,6.44E+03,,,,,,
cardigan,224,130,0.491360926,6.58E+03,,,,,,
Style,141,95,4.836219619,6.82E+03,,,,,,
Blank Space,246,96,8.46645064,7.04E+03,,,,,,
Shake it Off,214,160,3.296288383,7.18E+03,,,,,,
Wildest Dreams,139,140,1.858142728,7.31E+03,,,,,,
Bad Blood,139,170,3.296288383,7.53E+03,,,,,,
Surprise Song 1,217,164,0.706358532,7.79E+03,,,,,,
Surprise Song 2,256,80,0.706358532,7.98E+03,,,,,,
Lavender Haze,197,97,3.557933427,8.19E+03,,,,,,
Anti-Hero,201,97,2.910499432,8.35E+03,,,,,,
Midnight Rain,165,140,1.438751004,8.52E+03,,,,,,
Vigilante Shit,166,80,1.438751004,8.71E+03,,,,,,
Bejeweled,193,164,3.581039538,8.89E+03,,,,,,
Mastermind,184,126,0.718386371,9.00E+03,,,,,,
Karma,195,90,0.949803558,9.09E+03,,,,,,
